Νομός_Δήμος_Κοινότητα,Νέες_οικοδομές,Προσθήκες,Επισκευές,Αναπαλαιώσεις,Κατεδαφίσεις
Αριδαίας                      ,51,10,5,0,2 
Αλώρου                        ,3,0,0,0,0 
Αψάλου                        ,3,1,0,0,0 
Βορεινού                      ,3,0,0,0,0 
Γαρεφείου                     ,0,0,0,0,0 
Δωροθέας                      ,3,1,0,0,0 
Λουτρακίου                    ,13,2,0,0,0 
Μεγαπλατάνου                  ,1,0,0,0,0 
Ξιφιανής                      ,2,0,0,0,0 
Όρμης                         ,3,0,0,0,0 
Πιπεριών                      ,2,0,0,0,0 
Πολυκαρπίου                   ,2,0,0,0,0 
Προμάχων                      ,3,2,0,0,0 
Σαρακηνών                     ,1,0,0,0,0 
Σωσάνδρας                     ,4,0,0,0,0 
Τσάκων                        ,3,0,0,0,0 
Αρνίσσης                      ,50,5,3,0,0 
Αγίου Αθανασίου               ,1,0,0,0,0 
Γιαννιτσών                    ,47,9,2,0,0 
Αμπελειών                     ,1,0,0,0,0 
Εξαπλατάνου                   ,14,0,1,0,0 
Αρχαγγέλου                    ,0,1,0,0,0 
Θεοδωρακείου                  ,1,0,0,0,0 
Ίδας                          ,3,0,0,0,0 
Κωνσταντίας                   ,1,1,0,0,0 
Νοτίας                        ,2,0,0,0,0 
Χρυσής                        ,1,0,0,0,0 
Κρύας Βρύσης                  ,1,0,0,0,0 
Μυλοτόπου                     ,1,2,1,0,0 
Αραβησσού                     ,0,1,0,0,0 
Αχλαδοχωρίου                  ,1,0,0,0,0 
Λάκκας                        ,1,0,0,0,0 
Γαλατάδων                     ,1,0,0,0,0 
Καρυωτίσσης                   ,1,0,0,0,0 
Παλαιφύτου                    ,6,2,0,0,0 
Καλής                         ,1,1,1,0,0 
Πέλλης                        ,1,1,0,0,0 
Αγροσυκέας                    ,1,0,0,0,0 
Ραχώνας                       ,1,0,0,0,0 

Σκύδρας                       ,38,17,14,0,1 
Αρσενίου                      ,2,0,0,0,0 
’σπρου                        ,1,0,0,0,0 
Δάφνης                        ,2,0,0,0,0 
Λιποχωρίου                    ,1,1,0,0,0 
Μαυροβουνίου                  ,0,1,0,0,0 
Νέας Ζωής                     ,1,0,0,0,0 
Ρίζου                         ,1,0,0,0,0 
Σεβαστιανών                   ,0,2,0,0,0 
ΝΟΜΟΣ ΠΙΕΡΙΑΣ                   ,592,158,86,1,11 
Κατερίνης                     ,176,63,39,1,6 
’νω Αγίου Ιωάννου             ,0,0,0,0,0 
Γανοχώρας                     ,0,2,0,0,0 
Νεοκαισαρείας                 ,1,0,0,0,0 
Σβορώνου                      ,3,3,0,0,0 
Αιγινίου                      ,24,12,6,0,0 
Καταχά                        ,3,2,0,0,0 
Λεπτοκαρυάς                   ,66,5,5,0,1 
Παντελεήμονος                 ,4,4,1,0,0 
Πλαταμώνος                    ,12,2,0,0,1 
Πόρων                         ,6,0,0,0,1 
Σκοτίνης                      ,6,1,2,0,0 
Κονταριωτίσσης                ,5,2,0,0,0 
Αγίου Σπυρίδωνος              ,11,2,1,0,0 
Βροντούς                      ,2,0,0,0,0 
Δίου                          ,6,3,0,0,0 
Καρίτσης                      ,5,2,0,0,0 
Νέας Εφέσου                   ,15,1,1,0,0 
Παλαιού Κεραμιδίου            ,3,1,0,0,1 
Αρωνά                         ,0,0,0,0,0 
Ελάφου                        ,1,0,0,0,0 
Εξοχής                        ,4,0,0,0,0 
Καταλωνίων                    ,0,0,0,0,0 
Λαγορράχης                    ,0,0,0,0,0 
Μοσχοποτάμου                  ,2,0,1,0,0 
Τριλόφου                      ,0,2,0,0,0 
Κολινδρού                     ,9,0,1,0,0 
Λιβαδίου                      ,0,1,0,0,0 
Ρυακίων                       ,0,0,0,0,0 
Κορινού                       ,19,3,4,0,0 
Κάτω Αγίου Ιωάννου            ,4,1,0,0,0 
Κούκκου                       ,0,1,0,0,0 
Σεβαστής                      ,0,1,0,0,0 
Λιτοχώρου                     ,77,8,4,0,1 

Μακρυγιάλου                   ,13,3,1,0,0 
Μεθώνης                       ,3,1,0,0,0 
Νέας Αγαθουπόλεως             ,2,0,1,0,0 
Παλαιού Ελευθεροχωρίου        ,2,1,1,0,0 
Καλλιθέας                     ,27,12,5,0,0 
Παραλίας                      ,8,1,3,0,0 
Περιστάσεως                   ,15,5,1,0,0 
Μηλιάς (Κάτω Μηλέας)          ,11,0,1,0,0 
Αγίου Δημητρίου               ,2,0,0,0,0 
Λόφου                         ,5,1,0,0,0 
Μοσχοχωρίου                   ,2,0,0,0,0 
Φωτεινών                      ,2,1,0,0,0 
Ρητίνης                       ,4,4,2,0,0 
Βρίας                         ,1,0,1,0,0 
Ελατοχωρίου                   ,23,5,3,0,0 
Πύδνας                        ,4,2,1,0,0 
Αλωνίων                       ,1,0,0,0,0 
Παλαιόστανης                  ,0,0,1,0,0 
Σφενδαμίου                    ,3,0,0,0,0 
ΝΟΜΟΣ ΣΕΡΡΩΝ                    ,594,269,44,3,45 
Σερρών                        ,164,66,32,0,40 
Οινούσσας (Χιονοχωρίου)       ,1,0,0,0,0 
Αλιστράτης                    ,13,5,0,0,0 
Λευκοθέας                     ,0,1,0,0,0 
Παλαιοκώμης                   ,2,3,0,0,0 
Αμφιπόλεως                    ,6,1,0,1,0 
Μεσολακκιάς                   ,0,0,0,0,0 
Νέων Κερδυλίων                ,6,4,0,0,0 
Σιτοχωρίου                    ,1,1,0,0,0 
Δάφνης                        ,4,0,0,0,0 
Λευκοτόπου                    ,1,1,0,0,0 
Πατρικίου                     ,0,1,0,0,0 
Χουμνικού                     ,0,0,1,0,0 
Δημητρητσίου                  ,3,1,0,0,0 
Αγίας Παρασκευής              ,0,0,0,0,0 
Βέργης                        ,1,1,0,0,0 
Νικοκλείας                    ,1,0,0,0,0 
Σησαμίας                      ,0,1,0,0,0 
Τριανταφυλλιάς                ,0,0,0,0,0 

Χρυσού                        ,4,1,1,0,0 
Δαφνουδίου                    ,3,0,0,0,0 
Εμμανουήλ Παππά               ,19,5,1,0,0 
Μετάλλων                      ,1,0,1,0,0 

Νέου Σουλίου                  ,7,1,0,0,0 
Πενταπόλεως                   ,1,0,0,0,0 
Τούμπας                       ,1,0,0,0,0 
Ηρακλείας                     ,9,7,0,0,0 
Βαλτερού                      ,1,1,0,0,0 
Δασοχωρίου                    ,5,2,0,0,0 
Καρπερής                      ,0,0,0,0,0 
Κοιμήσεως                     ,2,2,0,0,0 
Λιθοτόπου                     ,1,0,0,0,0 
Λιμνοχωρίου                   ,3,0,0,0,0 
Ποντισμένου                   ,9,3,0,0,0 
Χρυσοχωράφων                  ,6,2,0,0,0 
Προβατά                       ,1,1,0,0,0 
Αναγεννήσεως                  ,0,1,0,0,0 
’νω Καμήλας                   ,1,0,0,0,0 
Μητρουσίου                    ,3,5,0,0,0 
Ροδοπόλεως                    ,2,2,0,0,0 
’νω Ποροΐων                   ,2,2,0,0,0 
Καστανούσσης                  ,0,1,0,0,0 
Κάτω Ποροΐων                  ,0,1,0,0,0 
Κερκίνης                      ,26,6,0,0,0 
Λιβαδιάς                      ,1,0,0,0,0 
Μακρινίτσης                   ,0,0,1,0,0 
Νέας Μπάφρας                  ,2,0,0,0,0 
Ηλιοκώμης                     ,2,0,0,0,0 
Κορμίστης                     ,3,1,0,0,0 
Συμβολής                      ,1,1,0,0,0 
Λευκώνος                      ,50,19,0,0,1 
Καλών Δένδρων                 ,1,0,0,0,0 
Χριστού                       ,1,0,0,0,0 
Νέας Ζίχνης                   ,14,5,0,1,0 
Αγριανής                      ,1,0,0,0,0 
Γαζώρου                       ,2,2,0,0,0 
Δραβήσκου                     ,3,2,0,0,0 
Νέας Πέτρας                   ,1,1,0,0,0 
Σφελινού                      ,0,1,0,0,0 
Νιγρίτης                      ,17,15,2,0,2 
Ανθής                         ,1,0,0,0,0 
Θερμών                        ,0,2,0,0,0 
Τερπνής                       ,2,0,0,0,0 
Φλαμπούρου                    ,3,9,0,0,0 
Νέου Πετριτσίου               ,14,5,0,0,0 
Ακριτοχωρίου                  ,3,2,0,0,0 
Βυρωνείας                     ,1,0,0,0,0 
Μανδρακίου                    ,0,0,0,0,0 
Μεγαλοχωρίου                  ,1,0,0,0,0 

Πρώτης                        ,4,3,0,0,0 
Κρηνίδος                      ,1,0,0,0,0 
Ροδολίβους                    ,2,3,0,0,0 
Σιδηροκάστρου                 ,58,26,0,1,2 
Βαμβακοφύτου                  ,3,1,0,0,0 
Καμαρωτού                     ,0,1,0,0,0 
Χαροπού                       ,8,2,0,0,0 
Χορτερού                      ,3,0,0,0,0 
Σκοτούσσης                    ,12,4,1,0,0 
Αμμουδιάς                     ,1,0,1,0,0 
Γεφυρουδίου                   ,1,2,1,0,0 
Μελενικιτσίου                 ,0,0,0,0,0 
Νέας Τυρολόης                 ,2,0,0,0,0 
Παλαιοκάστρου                 ,2,0,1,0,0 
Σκουτάρεως                    ,16,8,0,0,0 
Αγίας Ελένης                  ,1,0,0,0,0 
Αδελφικού                     ,0,0,0,0,0 
Βαμβακούσσης                  ,1,1,0,0,0 
Κάτω Καμήλας                  ,1,0,0,0,0 
Νέου Σκοπού                   ,3,5,0,0,0 
Βαλτοτοπίου                   ,2,0,0,0,0 
Μεσοκώμης                     ,0,1,0,0,0 
Μονόβρυσης                    ,1,0,0,0,0 
Νεοχωρίου Σερρών              ,0,0,0,0,0 
Παραλιμνίου                   ,0,0,0,0,0 
Στρυμονικού                   ,11,8,0,0,0 
Ζευγολατιού                   ,2,0,0,0,0 
Καλοκάστρου                   ,1,0,0,0,0 
Λιβαδοχωρίου                  ,2,0,0,0,0 
Τριάδος                       ,2,0,0,0,0 
Χειμάρρου                     ,1,0,0,0,0 
Μαυροθαλάσσης                 ,4,8,1,0,0 
Ιβήρων                        ,0,1,0,0,0 
Τραγίλου                      ,4,1,0,0,0 
Αγκίστρου                     ,8,0,0,0,0 
Αχλαδοχωρίου                  ,2,0,0,0,0 
Ορεινής                       ,1,0,0,0,0 
ΝΟΜΟΣ ΧΑΛΚΙΔΙΚΗΣ                ,1270,170,217,2,20 
Πολυγύρου                     ,93,10,13,1,3 
Αγίου Προδρόμου               ,2,2,0,0,0 
Βραστάμων                     ,0,1,0,0,0 
Ολύνθου                       ,7,0,4,0,0 
Παλαιοκάστρου                 ,2,0,1,0,0 
Σανών                         ,0,1,0,0,0 

Ταξιάρχου                     ,5,0,1,0,0 
Γαλατίστης                    ,27,2,0,0,0 
Βάβδου                        ,2,0,1,0,0 
Γαλαρινού                     ,1,0,0,0,0 
Δουμπιών                      ,1,0,0,0,0 
Αρναίας                       ,19,3,5,0,0 
Βαρβάρας                      ,0,1,0,0,0 
Νεοχωρίου                     ,1,1,0,0,0 
Παλαιοχωρίου                  ,4,2,1,0,1 
Στανού                        ,3,1,0,0,0 
Παλαιοχώρας                   ,6,0,0,0,0 
Μαραθούσσης                   ,1,0,0,0,0 
Ριζών                         ,0,0,0,0,0 
Νέας Καλλικράτειας            ,72,9,51,0,2 
Αγίου Παύλου                  ,3,1,3,0,0 
Λακκώματος                    ,6,2,0,0,0 
Νέας Γωνιάς                   ,8,0,0,0,0 
Νέων Σιλάτων                  ,7,1,6,0,0 
Κασσανδρείας                  ,119,12,13,0,1 
Αφύτου                        ,18,1,2,0,0 
Καλάνδρας                     ,36,3,0,0,0 
Καλλιθέας                     ,8,1,1,0,1 
Κασσανδρηνού                  ,7,0,2,0,0 
Κρυοπηγής                     ,16,0,1,0,0 
Νέας Φωκαίας                  ,11,3,2,0,2 
Φούρκας                       ,8,5,1,0,0 
Νέων Μουδανιών                ,102,12,17,0,1 
Αγίου Μάμαντος                ,17,2,3,0,0 
Διονυσίου                     ,6,1,1,0,0 
Ζωγράφου                      ,3,1,0,0,0 
Νέας Ποτειδαίας               ,15,0,2,0,0 
Πορταριάς                     ,9,0,0,0,0 
Σημάντρων                     ,5,4,0,0,0 
Φλογητών                      ,18,3,4,0,0 
Ορμυλίας                      ,37,12,6,0,1 
Μεταμορφώσεως                 ,6,0,0,0,0 
Χανιώτη                       ,86,2,4,0,4 
Αγίας Παρασκευής              ,12,0,2,0,0 
Νέας Σκιώνης                  ,26,0,0,0,0 
Παλιουρίου                    ,25,0,0,0,0 
Πευκοχωρίου                   ,46,6,6,0,0 
Πολυχρόνου                    ,25,0,1,0,0 
Μεγάλης Παναγίας              ,15,1,0,0,0 
Γοματίου                      ,4,3,1,0,0 
Πυργαδικίων                   ,2,0,0,0,0 
Νικήτης (Νικήτα)              ,87,3,10,1,1 
